CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,Total Incidents
17/06/16,15:35:00,4C,700 E 36TH ST,I,OTHER,543,NORTHERN,Waverly,"(39.3321700000, -76.6057500000)",1
17/06/16,15:45:00,6J,600 E 33RD ST,I,,513,NORTHERN,Better Waverly,"(39.3282900000, -76.6081300000)",1
17/06/16,15:55:00,4C,5400 RADECKE AVE,O,OTHER,444,NORTHEASTERN,Frankford,"(39.3291900000, -76.5415400000)",1
17/06/16,16:00:00,6C,400 E PRATT ST,I,,112,CENTRAL,Inner Harbor,"(39.2866800000, -76.6098000000)",1
17/06/16,16:24:00,4A,3500 DENISON RD,O,FIREARM,643,NORTHWESTERN,Ashburton,"(39.3273700000, -76.6723900000)",1
17/06/16,16:24:00,4A,3500 DENISON RD,O,FIREARM,643,NORTHWESTERN,Ashburton,"(39.3273700000, -76.6723900000)",1
17/06/16,16:30:00,6D,1400 WARNER ST,O,,941,SOUTHERN,Carroll - Camden Industrial Area,"(39.2751300000, -76.6246600000)",1
17/06/16,16:30:00,6D,2600 E FEDERAL ST,O,,332,EASTERN,Berea,"(39.3091000000, -76.5799400000)",1
17/06/16,16:30:00,6G,400 N BROADWAY,I,,321,EASTERN,Dunbar-Broadway,"(39.2954400000, -76.5939200000)",1
17/06/16,16:46:00,4E,2700 WASHINGTON BLVD,I,HANDS,831,SOUTHWESTERN,Morrell Park,"(39.2644900000, -76.6549300000)",1
17/06/16,17:00:00,6D,PAUL PL & E SARATOGA ST,O,,111,CENTRAL,Downtown,"(39.2923300000, -76.6140100000)",1
17/06/16,17:00:00,6D,2100 MOUNT ROYAL TER,O,,133,CENTRAL,Reservoir Hill,"(39.3133200000, -76.6268100000)",1
17/06/16,17:00:00,6D,5900 BELLONA AVE,O,,523,NORTHERN,Rosebank,"(39.3634600000, -76.6138400000)",1
17/06/16,17:00:00,6D,200 E MONTGOMERY ST,O,,942,SOUTHERN,Federal Hill,"(39.2800600000, -76.6108200000)",1
17/06/16,17:30:00,7C,3300 FLEET ST,O,,232,SOUTHEASTERN,Canton,"(39.2855300000, -76.5696100000)",1
17/06/16,17:31:00,4E,2400 BANGER ST,I,HANDS,923,SOUTHERN,Lakeland,"(39.2587000000, -76.6475800000)",1
17/06/16,17:31:00,4C,2400 BANGER ST,I,OTHER,923,SOUTHERN,Lakeland,"(39.2587000000, -76.6475800000)",1
17/06/16,17:43:00,3B,LOMBARD ST & S CENTRAL AV,O,,212,SOUTHEASTERN,Jonestown,"(39.2902100000, -76.5995300000)",1
17/06/16,18:00:00,7A,1200 S CAREY ST,O,,932,SOUTHERN,Washington Village/Pigtown,"(39.2801600000, -76.6346900000)",1
17/06/16,18:31:00,4E,1400 CHERRY ST,I,HANDS,911,SOUTHERN,Curtis Bay,"(39.2220900000, -76.5899500000)",1
17/06/16,19:00:00,7A,2200 E BIDDLE ST,O,,331,EASTERN,Broadway East,"(39.3046300000, -76.5868000000)",1
17/06/16,19:00:00,6D,100 W 25TH ST,O,,512,NORTHERN,Charles Village,"(39.3178100000, -76.6185700000)",1
17/06/16,19:15:00,4E,2700 W PATAPSCO AVE,O,HANDS,923,SOUTHERN,Lakeland,"(39.2548600000, -76.6573500000)",1
17/06/16,19:29:00,3B,200 W CHASE ST,O,,141,CENTRAL,Mid-Town Belvedere,"(39.3014000000, -76.6197000000)",1
17/06/16,20:00:00,6D,2500 MARYLAND AVE,O,,512,NORTHERN,Charles Village,"(39.3184500000, -76.6184300000)",1
17/06/16,20:01:00,5D,900 W BALTIMORE ST,I,,931,WESTERN,Hollins Market,"(39.2887800000, -76.6326500000)",1
17/06/16,20:15:00,3AF,1600 E EAGER ST,O,FIREARM,313,EASTERN,Gay Street,"(39.3018300000, -76.5962300000)",1
17/06/16,20:15:00,3AF,0 N STREEPER ST,O,FIREARM,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2927700000, -76.5769700000)",1
17/06/16,20:35:00,3B,100 N ROSE ST,O,,222,SOUTHEASTERN,Patterson Park Neighborhood,"(39.2935500000, -76.5812800000)",1
17/06/16,20:57:00,4E,2200 GUILFORD AVE,I,HANDS,514,NORTHERN,Barclay,"(39.3151200000, -76.6127100000)",1
17/06/16,21:00:00,7A,900 MCKEAN AVE,O,,743,WESTERN,Sandtown-Winchester,"(39.2992100000, -76.6467900000)",1
17/06/16,21:40:00,6B,WASHINGTON ST & E PRATT ST,O,,212,SOUTHEASTERN,Upper Fells Point,"(39.2894200000, -76.5890300000)",1
17/06/16,21:43:00,7A,1900 HOMEWOOD AVE,O,,342,EASTERN,East Baltimore Midway,"(39.3123200000, -76.6071400000)",1
17/06/16,22:00:00,6D,2500 SAINT PAUL ST,O,,512,NORTHERN,Charles Village,"(39.3179900000, -76.6154300000)",1
17/06/16,22:00:00,5D,200 N LINWOOD AVE,I,,221,SOUTHEASTERN,McElderry Park,"(39.2948000000, -76.5763900000)",1
17/06/16,22:15:00,4E,900 N MONROE ST,O,HANDS,722,WESTERN,Midtown-Edmondson,"(39.2991200000, -76.6475700000)",1
17/06/16,22:30:00,6E,4000 ELMORA AVE,O,,432,NORTHEASTERN,Belair-Edison,"(39.3184000000, -76.5583700000)",1
17/06/16,22:30:00,4E,0 S GREENE ST,O,HANDS,121,CENTRAL,University Of Maryland,"(39.2882900000, -76.6236700000)",1
17/06/16,23:00:00,5A,1900 RUXTON AVE,I,,731,WESTERN,Mondawmin,"(39.3101200000, -76.6548700000)",1
17/06/16,23:04:00,4E,2300 EASTERN AVE,O,HANDS,221,SOUTHEASTERN,Patterson Park,"(39.2859800000, -76.5842100000)",1
17/06/16,23:10:00,4B,500 S NEWKIRK ST,O,KNIFE,242,SOUTHEASTERN,Greektown,"(39.2866900000, -76.5565800000)",1
17/06/16,23:15:00,4B,400 N PACA ST,I,KNIFE,111,CENTRAL,Downtown,"(39.2943900000, -76.6225600000)",1
17/06/16,23:30:00,4E,0 N PULASKI ST,O,HANDS,842,SOUTHWESTERN,Boyd-Booth,"(39.2879400000, -76.6500900000)",1
17/06/16,23:30:00,6J,100 HOPKINS PL,O,,113,CENTRAL,Downtown West,"(39.2874600000, -76.6177100000)",1
17/06/16,23:37:00,4E,1900 W FAYETTE ST,O,HANDS,714,WESTERN,Penrose/Fayette Street Outreach,"(39.2894700000, -76.6479700000)",1
17/06/16,23:40:00,4E,3100 E MONUMENT ST,I,HANDS,224,EASTERN,Ellwood Park/Monument,"(39.2992000000, -76.5725900000)",1
17/06/16,23:50:00,4F,200 N DALLAS CT,I,,212,SOUTHEASTERN,Dunbar-Broadway,"(39.2936200000, -76.5962400000)",1
17/06/16,23:50:00,4E,ST & W READ ST,O,HANDS,141,CENTRAL,Mid-Town Belvedere,"(39.2995900000, -76.6171700000)",1
17/06/16,23:55:00,6C,6300 EASTERN AVE,I,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.2875900000, -76.5402100000)",1
16/06/16,21:15:00,3B,2000 E FAYETTE ST,O,,212,EASTERN,Butcher's Hill,"(39.2941300000, -76.5882000000)",1
16/06/16,21:20:00,4E,3600 E LOMBARD ST,I,HANDS,223,SOUTHEASTERN,Baltimore Highlands,"(39.2914300000, -76.5673100000)",1
16/06/16,21:20:00,4E,ST & S SCHROEDER ST,O,HANDS,931,SOUTHERN,Hollins Market,"(39.2872600000, -76.6336900000)",1
16/06/16,21:30:00,5D,900 W PATAPSCO AVE,I,,922,SOUTHERN,Cherry Hill,"(39.2456100000, -76.6342900000)",1
16/06/16,21:30:00,4E,1300 PONTIAC AVE,I,HANDS,911,SOUTHERN,Curtis Bay,"(39.2318900000, -76.5925200000)",1
16/06/16,21:30:00,4E,1300 PONTIAC AVE,I,HANDS,911,SOUTHERN,Curtis Bay,"(39.2318900000, -76.5925200000)",1
16/06/16,22:00:00,6D,0 S WOLFE ST,O,,212,SOUTHEASTERN,Washington Hill,"(39.2911000000, -76.5904500000)",1
16/06/16,22:00:00,7A,1500 MADISON AVE,O,,132,CENTRAL,Madison Park,"(39.3049500000, -76.6292100000)",1
16/06/16,22:18:00,4E,1000 HARLEM AVE,I,HANDS,713,WESTERN,Harlem Park,"(39.2967700000, -76.6352200000)",1
16/06/16,22:50:00,6D,ST & S CAROLINE ST,O,,213,SOUTHEASTERN,Fells Point,"(39.2844100000, -76.5966900000)",1
16/06/16,22:57:00,5D,500 SANFORD PL,I,,131,CENTRAL,Druid Heights,"(39.3092900000, -76.6405800000)",1
16/06/16,23:00:00,5A,500 S MONROE ST,I,,934,SOUTHERN,Carrollton Ridge,"(39.2813900000, -76.6465100000)",1
16/06/16,23:00:00,4C,2600 HURON ST,I,OTHER,921,SOUTHERN,Mount Winans,"(39.2611700000, -76.6449700000)",1
17/06/16,23:40:00,4E,3100 E MONUMENT ST,I,HANDS,224,EASTERN,Ellwood Park/Monument,"(39.2992000000, -76.5725900000)",1
17/06/16,23:50:00,4F,200 N DALLAS CT,I,,212,SOUTHEASTERN,Dunbar-Broadway,"(39.2936200000, -76.5962400000)",1
